sponsor_name,total_trials,stopped_early,pct_stopped_early
Wake Forest University Health Sciences,7,5,71.4
University of Arkansas,6,4,66.7
"Masonic Cancer Center, University of Minnesota",5,3,60.0
"University of Maryland, Baltimore",5,3,60.0
University of Pennsylvania,5,3,60.0
University of Southern California,10,5,50.0
Vanderbilt-Ingram Cancer Center,8,4,50.0
London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,6,3,50.0
GE Healthcare,9,4,44.4
Case Comprehensive Cancer Center,14,6,42.9
